,cod_ibge,qnt_produzida,uf
1007,2414308,8,RN
1008,2408508,1,RN
1009,4300307,2,RS
1010,4321402,6,RS
1011,4300505,16,RS
1012,4300646,6,RS
1013,4303400,15,RS
1014,4306072,2,RS
1015,4308508,19,RS
1016,4310504,5,RS
1017,4313805,2,RS
1018,4314498,3,RS
1019,4314704,2,RS
1020,4320206,15,RS
1021,4321329,4,RS
1022,4323101,3,RS
1023,4323507,4,RS
1024,4304853,2,RS
1025,4305116,6,RS
1026,4306973,7,RS
1027,4307203,4,RS
1028,4311700,9,RS
1029,4303301,300,RS
1030,4317707,21556,RS
1031,4323754,100,RS
1032,4301958,3,RS
1033,4302154,9,RS
1034,4312955,4,RS
1035,4312138,20,RS
1036,4311155,2,RS
1037,4300703,6,RS
1038,4301404,2,RS
1039,4310306,3,RS
1040,4315206,2,RS
1041,4310553,6450,RS
1042,4302907,94656,RS
1043,4306379,21600,RS
1044,4311106,17039,RS
1045,4312104,9360,RS
1046,4313037,1500,RS
1047,4316907,44944,RS
1048,4319125,450,RS
1049,4319406,31756,RS
1050,4319604,140000,RS
1051,4319802,81047,RS
1052,4321493,2509,RS
1053,4323457,2100,RS
1054,4300109,78647,RS
1055,4306700,21444,RS
1056,4308003,16150,RS
1057,4308409,56250,RS
1058,4310751,360,RS
1059,4313102,1350,RS
1060,4315503,123600,RS
1061,4318432,16264,RS
1062,4304200,56806,RS
1063,4309159,13,RS
1064,4309753,16,RS
1065,4316808,15200,RS
1066,4320263,8,RS
1067,4320677,16,RS
1068,4322533,7875,RS
1069,4322608,15620,RS
1070,4322707,6440,RS
1071,4302402,215,RS
1072,4302451,9,RS
1073,4306205,5232,RS
1074,4321303,24288,RS
1075,4303004,211694,RS
1076,4305132,8187,RS
1077,4313391,14025,RS
1078,4313953,39900,RS
1079,4314027,27550,RS
1080,4314076,4500,RS
1081,4315701,69700,RS
1082,4301651,1,RS
1083,4302352,30,RS
1084,4302659,3,RS
1085,4304689,15910,RS
1086,4311643,4,RS
1087,4312401,2340,RS
1088,4314803,1016,RS
1089,4316501,5,RS
1090,4318481,20,RS
1091,4322251,2,RS
1092,4310108,2,RS
1093,4312476,5,RS
1094,4314423,2,RS
1095,4315149,2,RS
1096,4316006,2550,RS
1097,4316956,7,RS
1098,4321204,5724,RS
1099,4321709,4,RS
1100,4301750,2015,RS
1101,4302709,7200,RS
1102,4305355,29250,RS
1103,4308805,14212,RS
1104,4312252,11200,RS
1105,4318408,9600,RS
1106,4322004,60000,RS
1107,4322525,6300,RS
1108,4300604,297,RS
1109,4304606,4200,RS
1110,4306767,89403,RS
1111,4307708,3150,RS
1112,4309050,10008,RS
1113,4309209,5600,RS
1114,4309308,30566,RS
1115,4311981,6000,RS
1116,4313375,28274,RS
1117,4314902,2611,RS
1118,4319901,715,RS
1119,4320552,9100,RS
1120,4323002,133878,RS
1121,4301636,3594,RS
1122,4304671,87511,RS
1123,4304713,2179,RS
1124,4305454,11980,RS
1125,4306551,646,RS
1126,4311734,6757,RS
1127,4311775,2503,RS
1128,4312443,9525,RS
1129,4312500,246636,RS
1130,4313508,28560,RS
1131,4313656,96200,RS
1132,4317608,92550,RS
1133,4321352,13841,RS
1134,4321436,680,RS
1135,4321501,25652,RS
1136,4321600,1800,RS
1137,4321667,3318,RS
1138,4323804,2422,RS
1139,4300851,114851,RS
1140,4301909,103291,RS
1141,4303509,292592,RS
1142,4305173,4976,RS
1143,4305447,32,RS
1144,4306502,158,RS
1145,4320354,18460,RS
1146,4321105,155000,RS
1147,4300406,486727,RS
1148,4301875,238582,RS
1149,4308656,1440,RS
1150,4310603,534475,RS
1151,4311718,167605,RS
1152,4311759,22750,RS
1153,4315305,90231,RS
1154,4318002,306400,RS
1155,4318101,24478,RS
1156,4322400,783737,RS
1157,4316402,126004,RS
1158,4316972,42400,RS
1159,4317103,64576,RS
1160,4318309,211970,RS
1161,4300034,66391,RS
1162,4301602,75039,RS
1163,4306601,251415,RS
1164,4309654,4133,RS
1165,4311502,26291,RS
1166,4300638,1247,RS
1167,4302808,23991,RS
1168,4304358,1664,RS
1169,4306908,8024,RS
1170,4314175,4967,RS
1171,4314506,345,RS
1172,4314605,4073,RS
1173,4317004,1652,RS
1174,4304507,6394,RS
1175,4304663,65680,RS
1176,4305124,1870,RS
1177,4306056,42740,RS
1178,4314209,35050,RS
1179,4314407,76483,RS
1180,4318804,76445,RS
1181,4322327,15805,RS
1182,4301305,305598,RS
1183,4307104,3136,RS
1184,4311007,167000,RS
1185,4305439,28017,RS
1186,4315602,184658,RS
1187,4317301,592439,RS
1188,4318507,10089,RS
1189,1100452,5,RO
1190,1100700,400,RO
1191,1100809,1500,RO
1192,1100940,10800,RO
1193,1101104,7200,RO
1194,1100338,11100,RO
1195,1100205,15930,RO
1196,1100106,19,RO
1197,1101492,3250,RO
1198,1100403,4950,RO
1199,1100023,2310,RO
1200,1100130,766,RO
1201,1101401,5,RO
1202,1100262,10098,RO
1203,1101757,1051,RO
1204,1101005,3,RO
1205,1100114,5,RO
1206,1101302,9,RO
1207,1101435,5,RO
1208,1100155,15,RO
1209,1100254,60,RO
1210,1101609,27,RO
1211,1100346,315,RO
1212,1100148,1,RO
1213,1100320,19022,RO
1214,1101500,239,RO
1215,1100015,405,RO
1216,1100379,240,RO
1217,1100049,99,RO
