cod_ibge,qnt_produzida,uf
5008404,8748,MS
5000856,3780,MS
5003157,19240,MS
5003454,14800,MS
5003751,22000,MS
5004007,2890,MS
5004304,96000,MS
5004601,88425,MS
5004700,14796,MS
5004809,5300,MS
5005103,10300,MS
5005681,9855,MS
5005707,130560,MS
5006259,2001,MS
5006358,16800,MS
5007703,36114,MS
5007950,12447,MS
1503002,4,PA
1503903,13,PA
1505106,65,PA
1505304,132,PA
1507979,6,PA
1500404,7500,PA
1501451,69000,PA
1502855,28,PA
1504752,156000,PA
1504802,20250,PA
1505650,2706,PA
1506005,2850,PA
1506807,97500,PA
1500503,137,PA
1505908,224,PA
1503101,46,PA
1501303,180,PA
1506351,33,PA
1501907,86,PA
1502400,320,PA
1503408,25,PA
1507003,42,PA
1502608,7,PA
1502905,12,PA
1504109,33,PA
1504307,400,PA
1504406,43,PA
1506203,79,PA
1507102,18,PA
1507466,36,PA
1507474,64,PA
1507961,4,PA
1500909,119,PA
1501600,45,PA
1501709,540,PA
1502202,600,PA
1503200,143,PA
1505007,128,PA
1505601,381,PA
1506104,230,PA
1506112,36,PA
1506609,1190,PA
1506906,320,PA
1507409,180,PA
1508035,81,PA
1500107,63,PA
1501204,160,PA
1502103,211,PA
1503309,24,PA
1504000,14,PA
1504604,2400,PA
1505205,67,PA
1500206,152,PA
1502756,45,PA
1504703,3000,PA
1507953,66933,PA
1508001,1696,PA
1500958,2842,PA
1501956,520,PA
1502301,2750,PA
1503077,2875,PA
1503457,7669,PA
1503507,850,PA
1504059,1600,PA
1504950,7415,PA
1505403,120,PA
1506559,391,PA
1507201,630,PA
1507607,600,PA
1508308,755,PA
1501006,520,PA
1503606,675,PA
1503754,68,PA
1505031,18000,PA
1506195,4107,PA
1508050,5750,PA
1500602,42000,PA
1500859,2000,PA
1501725,900,PA
1504455,5270,PA
1505486,4830,PA
1507805,1500,PA
1508159,5400,PA
1508357,900,PA
1503705,8326,PA
1504976,1380,PA
1500131,651,PA
1501576,491,PA
1502939,16848,PA
1505502,39895,PA
1506187,8923,PA
1508126,32308,PA
1502764,30714,PA
1505437,1383,PA
1507300,37929,PA
1508084,5760,PA
1500347,14450,PA
1502152,18435,PA
1502772,7860,PA
1502954,3327,PA
1505536,6440,PA
1501758,910,PA
1504208,26175,PA
1505494,1530,PA
1507151,1483,PA
1507508,549,PA
1505635,12000,PA
1506138,11855,PA
1506161,1450,PA
1507458,19470,PA
1507755,2180,PA
1508407,3364,PA
1502707,1626,PA
1503044,1565,PA
1506583,116052,PA
1506708,129968,PA
2502003,86,PB
2502300,321,PB
2502805,66,PB
2502904,60,PB
2504306,270,PB
2507408,123,PB
2508109,90,PB
2509370,116,PB
2512804,360,PB
2513901,106,PB
2514651,23,PB
2502052,207,PB
2502201,132,PB
2502409,680,PB
2503308,149,PB
2503704,240,PB
2504108,120,PB
2509602,266,PB
2512036,308,PB
2512077,672,PB
2513307,668,PB
2513653,160,PB
2500700,1560,PB
2514503,533,PB
2516805,495,PB
2516904,1036,PB
2500775,224,PB
2503753,100,PB
2504504,158,PB
2508406,240,PB
2508802,69,PB
2509156,198,PB
2510006,200,PB
2510907,140,PB
2512101,84,PB
2513208,202,PB
2513927,117,PB
2513968,90,PB
2513984,240,PB
2514206,420,PB
2516201,791,PB
2517209,336,PB
2505501,72,PB
2501153,200,PB
2503407,400,PB
2508703,225,PB
2510709,80,PB
2510808,140,PB
2512606,100,PB
2513802,216,PB
2514404,720,PB
2514602,95,PB
2500205,120,PB
2504207,472,PB
2504801,540,PB
