cod_ibge,qnt_produzida,uf
4121307,41893,PR
4123204,20358,PR
4124707,86199,PR
4126009,47613,PR
4128401,40082,PR
4100103,27727,PR
4101101,39429,PR
4102406,60225,PR
4106001,46070,PR
4106407,112882,PR
4111001,43092,PR
4113403,70373,PR
4116604,20093,PR
4117008,53526,PR
4121901,34851,PR
4123105,13607,PR
4123907,97654,PR
4124301,25346,PR
4126405,107856,PR
4102703,20898,PR
4103602,67262,PR
4111803,22910,PR
4112900,33495,PR
4121802,7164,PR
4124103,64740,PR
4106100,27650,PR
4107009,29983,PR
4107751,6345,PR
4109708,36716,PR
4111704,18972,PR
4112306,20480,PR
4119202,13229,PR
4126207,10500,PR
4104709,8690,PR
4109005,23870,PR
4112801,9120,PR
4120705,1501,PR
4122909,11310,PR
4124004,37730,PR
4125407,65439,PR
4126603,20988,PR
4127809,47795,PR
4128500,74426,PR
4110078,11210,PR
4117305,129795,PR
4121703,88010,PR
4127106,1850,PR
4127502,379525,PR
4128534,69254,PR
4101606,133785,PR
4112009,99000,PR
4119400,140700,PR
4126306,51460,PR
4104659,88650,PR
4104907,231500,PR
4117701,189140,PR
4119905,258049,PR
4102000,233691,PR
4107157,12250,PR
4107538,19890,PR
4108205,56543,PR
4108809,109818,PR
4110656,19902,PR
4112751,44764,PR
4114609,105765,PR
4115358,72000,PR
4115853,20400,PR
4117222,44286,PR
4117453,53340,PR
4117909,148753,PR
4118451,17025,PR
4120853,27200,PR
4123501,91740,PR
4125456,9009,PR
4125753,48280,PR
4127403,165000,PR
4127700,235840,PR
4127957,73853,PR
4101051,17000,PR
4103057,15000,PR
4103354,60000,PR
4103453,81379,PR
4104055,55000,PR
4104600,23000,PR
4104808,300000,PR
4105003,60000,PR
4106308,120000,PR
4107124,6200,PR
4109302,72176,PR
4109757,17000,PR
4110052,12000,PR
4113452,24000,PR
4116703,110001,PR
4123824,13000,PR
4124020,67000,PR
4127858,49000,PR
4105300,61000,PR
4108304,35612,PR
4110953,34155,PR
4115606,46116,PR
4115804,50950,PR
4116059,44950,PR
4121257,11832,PR
4124053,57376,PR
4125704,163311,PR
4126355,47112,PR
4128559,71424,PR
4101002,32480,PR
4102752,19422,PR
4104501,68330,PR
4119004,43271,PR
4119806,51900,PR
4120358,53255,PR
4121406,65600,PR
4123808,63960,PR
4102604,11600,PR
4103024,18900,PR
4103156,15800,PR
4106571,17860,PR
4107207,72496,PR
4107405,12480,PR
4107850,24280,PR
4108403,83970,PR
4114351,3496,PR
4115408,66042,PR
4116950,7800,PR
4117255,65050,PR
4119251,7770,PR
4121604,94490,PR
4122800,9880,PR
4123006,51360,PR
4124400,52480,PR
4125209,38190,PR
4128609,67435,PR
4103222,46820,PR
4105409,87110,PR
4106506,107350,PR
4111209,60500,PR
4115309,53020,PR
4118501,104210,PR
4124806,71930,PR
4126272,12000,PR
4126652,19795,PR
4128708,74500,PR
4103040,74366,PR
4113254,8215,PR
4115739,35741,PR
4117800,18200,PR
4119608,176400,PR
4123857,48800,PR
4103958,41013,PR
4104428,188810,PR
4104451,56100,PR
4107546,37200,PR
4108452,37620,PR
4108650,77250,PR
4109401,304000,PR
4110201,13600,PR
4113304,74160,PR
4115457,18460,PR
4117057,37823,PR
4119301,148610,PR
4120150,34968,PR
4120903,84240,PR
4121752,63180,PR
4122156,86205,PR
4127965,60800,PR
4128658,32760,PR
4105706,137475,PR
4106456,61360,PR
4109658,79420,PR
4114401,164775,PR
4117602,113400,PR
4107736,51258,PR
4108957,27300,PR
4110102,90000,PR
4110508,107490,PR
4111407,52090,PR
4120606,140940,PR
4127007,152000,PR
4110706,122400,PR
4113908,57750,PR
4121505,90000,PR
4122008,61200,PR
4102901,8900,PR
4106803,10150,PR
4108502,8460,PR
4118600,60760,PR
4118709,55040,PR
4120309,1120,PR
4128203,12600,PR
4101309,31500,PR
4125100,22060,PR
4125605,115500,PR
4105201,2475,PR
4128633,2560,PR
4113205,228930,PR
4120101,25481,PR
4100400,502,PR
4101804,63063,PR
4102307,56729,PR
4103107,104,PR
4104204,34979,PR
4104253,15065,PR
4106209,55286,PR
4107652,6113,PR
4111258,824,PR
4114302,1815,PR
4119509,690,PR
4122206,652,PR
4125506,6379,PR
4100301,5693,PR
4104105,40370,PR
4119103,17762,PR
4121208,43770,PR
4122305,35552,PR
4127601,17176,PR
2606101,600,PE
2201770,4368,PI
2202703,156,PI
2208304,2352,PI
2200103,3222,PI
2207504,1656,PI
2208809,50404,PI
2209807,8407,PI
2210508,465,PI
2201150,726583,PI
2208908,308916,PI
2209203,224393,PI
2211209,488947,PI
2200806,21643,PI
2205607,7416,PI
2208551,5850,PI
2210631,95955,PI
2204501,1650,PI
2200459,7380,PI
2201309,58794,PI
2201903,235194,PI
2203230,137916,PI
2204402,117728,PI
2206605,91904,PI
2207405,27926,PI
2208700,4141,PI
2209757,1944,PI
2202901,70426,PI
2203008,2835,PI
2210623,1467,PI
2210979,3960,PI
2704203,2700,AL
2700409,720,AL
2703908,1013,AL
2705606,160,AL
2700201,2650,AL
2701407,1200,AL
2704005,128,AL
2708600,820,AL
4300307,6600,RS
4304309,26400,RS
4310405,70800,RS
4313425,31080,RS
4315008,10346,RS
4315057,10560,RS
4315073,1500,RS
4317202,70200,RS
4317905,26348,RS
4318499,5640,RS
4321808,69600,RS
4322103,28350,RS
4322301,39567,RS
4301859,4995,RS
4302204,7155,RS
4302378,13200,RS
4302600,28080,RS
4304002,40250,RS
4306007,36000,RS
4306320,31000,RS
4306734,41250,RS
4307450,14100,RS
4309605,36000,RS
4309704,23100,RS
4312302,19440,RS
4313011,7644,RS
4315404,38400,RS
4319109,39208,RS
4320230,20955,RS
4321402,42000,RS
4321477,17160,RS
4321907,29700,RS
4323705,9450,RS
4300505,4036,RS
4300646,1872,RS
4303400,10500,RS
4305801,41250,RS
4306072,12644,RS
4306429,57000,RS
4306924,16500,RS
4307302,50490,RS
